STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_PRIMLEG-REGEV,Requirement for government institutions to undertake regular evaluation of their policies,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_BUDPRT-EXAP2,Ex ante appraisal  of  current expenditure,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_INTROOBJ,2. What are the main objectives when conducting policy evaluations?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_EVALCHAMP,4. Which of the following institutions within the executive branch of government have a formal mandate to centrally coordinate public policy evaluations across government?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOCEN-CORDEV,Co-ordinate policy evaluations across the public administration,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOCEN-DISSEV,Disseminate and communicate evaluation results,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOMOF-OVERS,"Oversee the evaluation function across government (e.g. approve appointment of Chief evaluators, oversee the development of line ministries’ evaluation agendas, etc.)",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPLAN-MONEV,Monitor the implementation of policy evaluation results,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOAUT-CENGUID,Provide central  guidelines  for policy evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOPLAN-NONE,None of the above,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_LR_MANDLM,5.1 How is the mandate of these evaluation units in line ministries established?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_LMEVDEC-BUDTR,Based on a specific budgetary threshold,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_GUDCONT-EVPL,Evaluation planning,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID-GUID5_DAT,Policy Evaluation Guideline 5-Date of release (+ last update),2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-ETICOcomment,"Ethical considerations to protect the dignity, rights, safety and privacy of participants and other stakeholders-comment",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOCEN-DEVAG,Develop and manage a cross-government evaluation agenda,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOAUT-other,"Other, please explain",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOCEN-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOAUT-PREIPM,Promoting evidence-informed policymaking,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINCEN-DEDLINE,Through a dedicated budget allocation earmarked for the unit(s),2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINMOF-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_KB-ACCEV,By making evaluation evidence more accessible to potential users,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_WCHSK,15.1 Which external stakeholders are typically engaged in the evaluation?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_PRIMLEG-EVREP,Requirements related to evaluation reporting,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPLAN-CORDEV,Co-ordinate policy evaluations across the public administration,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPUB-TRAIN,Provide trainings to policy evaluators,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOPLAN-MANPER,Managing the performance of the public sector,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_LR_MANDLM-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPAR-CONDEV,It has an internal body responsible for conducting policy evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_CENTREQ-GOVPROGcomment,Policies that are part of the government programme or strategic plans need to be evaluated. Please provide the weblink here:-comment,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_CENTREQ-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-EVCOMPcomment,"The competence of evaluators, including the necessary skills, knowledge, and expertise to carry out evaluations.-comment",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_AUTOEV-BUDAT,By providing internal evaluation teams with autonomy in the use of their resources,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_AUTOEV-EVAUT,By providing internal evaluation teams with autonomy in deciding which policies to evaluate,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_SECLEG-ETST,Standards for ethical conduct,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_SECLEG-QSEV,Requirements related to the quality standards of evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_SECLEG-SKENG,Requirements related to stakeholder engagement,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_SYNTMET,36.1 Which of the following methods are used to synthesise evidence?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOMOF-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOPUBL-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINCEN,4.5 How is/are the unit(s) at the Institution at the Centre of Government financed?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINPLAN-DEDLINE,Through a dedicated budget allocation earmarked for the unit(s),2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINPUB-DEDLINE,Through a dedicated budget allocation earmarked for the unit(s),2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_CENTREQ-ALLEV,All policies need to be evaluated. Please provide the weblink here:,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_PROFST,17. Are there any professional standards or accreditations required to work in policy evaluation roles in government?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-EVINTcomment,The integrity of evaluators-comment,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ACQSKIL-other,"Other, please explain",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_IMPGRP-YOUT,Youth,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_SECLEG-RESEV,Responsibilities of government institutions concerning policy evaluation,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_LR_PUBRES-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOPLAN-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINMOF-DEDLINE,Through a dedicated budget allocation earmarked for the unit(s),2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPLM-QUALEVI,Ensuring the quality of policy evaluations conducted by other departments within the line ministry,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_KB-SYNTEV,By synthesising evaluation results,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPAR-NORES,The Parliament/ Congress has no responsibilities related to policy evaluation,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID-GUID4_DAT,Policy Evaluation Guideline 4-Date of release (+ last update),2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_IMPGRP,27. Does your government regularly evaluate the differentiated impact of policies on the following groups or sections of society?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_CONSTI-EVARE,Policy areas (thematic) or programmes covered by the legal framework,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_PRIMLEG-ETST,Standards for ethical conduct,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_SYNTMET-EVIGM,Evidence gap maps,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_INTROOBJ-other,"Other, please specify",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_EVALCHAMP-MOF,Ministry of Finance / Ministry of Economy / Ministry of Treasury or equivalent,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOCEN-MONPG,Monitoring  government-wide policy goals,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINPLAN-SEPLINE,The evaluation unit prepares its budget and the central budget authority includes it in the government’s budget proposal without any changes,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPLM-CONDEV,Conducting internal policy evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_CENTREQ,11. Are there central requirements to evaluate policies?,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_STGSK-CONEV,Conducting evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-NONE,None of the above,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_IMPGRP-DIS,People with disability,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOMOF-DISSEV,Disseminate and communicate evaluation results,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPUB-MONEV,Monitor the implementation of policy evaluation results,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOAUT-CONDEV,Conduct or commission cross-sectoral policy evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ADDRESPOPLAN,"4.2 In addition to responsabilities in relation to policy evaluations, does the Ministry of Planning or equivalent carry out any of the following responsibilites?",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINCEN-BUDALLOC,Through the budget allocation of the hosting institution,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_UNITFINMOF-SEPLINE,The evaluation unit prepares its budget and the central budget authority includes it in the government’s budget proposal without any changes,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_CENTREQ-ALLEVcomment,All policies need to be evaluated. Please provide the weblink here:-comment,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_ETHSTD-YSPEC,"Yes, there are specific ethical standards for government evaluators",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_SPCETH-CULAPcomment,Culturally appropriate approaches-comment,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_AUTOEV-STAFC,By providing internal evaluation teams with control over staff recruitment,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_LEGALEM-CONST,Constitution. Please provide a weblink and the number of the article/s.,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MCC_LEGALEM-NOEMBcomment,It is not legally embedded-comment,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOMOF-CONDEV,Conduct or commission cross-sectoral policy evaluations,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPLAN-SYNTHEV,Synthesise evaluation results,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_RESPOPUB-other,"Other, please explain",2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_ST_UNITNAMEPUB,4.3 Please name the specific unit(s) responsible for policy evaluation within the Ministry of Public Sector Reform or equivalent:,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_MC_GUDCONT-PRDE,Proportionate and appropriate design for primary and intended users,2023,,,,A,Normal value,0,Units
DATAFLOW,OECD.GOV.GIP:DSD_QDD_GOV_PE@DF_GOV_PE(1.0),Public policy evaluation - 2023,I,LUX,Luxembourg,A,Annual,Q_AM_INFOGUID-GUID2_NAME,Policy Evaluation Guideline 2-Name of the institution that issued the document,2023,,,,A,Normal value,0,Units
